first_line,text,len,note,text_raw,len_raw
  Much madness is divinest sense,"  Much madness is divinest sense
  
  To a discerning eye;
  
  Much sense the starkest madness.
  
  'T is the majority
  
  In this, as all, prevails.
  
  Assent, and you are sane;
  
  Demur, — you're straightway dangerous,
  
  And handled with a chain.",258,,much madness is divinest sense to a discerning eye much sense the starkest madness t is the majority in this as all prevails assent and you are sane demur youre straightway dangerous and handled with a chain,207
"  I asked no other thing,","  I asked no other thing,
  
  No other was denied.
  
  I offered Being for it;
  
  The mighty merchant smiled.
  

  Brazil? He twirled a button,
  
  Without a glance my way:
  
  ""But, madam, is there nothing else
  
  That we can show to-day?""",249,,i asked no other thing no other was denied i offered being for it the mighty merchant smiled brazil he twirled a button without a glance my way but madam is there nothing else that we can show today,198
"  The soul selects her own society,","  The soul selects her own society,
  
  Then shuts the door;
  
  On her divine majority
  
  Obtrude no more.
  

  Unmoved, she notes the chariot's pausing
  
  At her low gate;
  
  Unmoved, an emperor is kneeling
  
  Upon her mat.
  

  I've known her from an ample nation
  
  Choose one;
  
  Then close the valves of her attention
  
  Like stone.",356,,the soul selects her own society then shuts the door on her divine majority obtrude no more unmoved she notes the chariots pausing at her low gate unmoved an emperor is kneeling upon her mat ive known her from an ample nation choose one then close the valves of her attention like stone,286
"  Some things that fly there be, —","  Some things that fly there be, —
  
  Birds, hours, the bumble-bee:
  
  Of these no elegy.
  

  Some things that stay there be, —
  
  Grief, hills, eternity:
  
  Nor this behooveth me.
  

  There are, that resting, rise.
  
  Can I expound the skies?
  
  How still the riddle lies!",289,,some things that fly there be birds hours the bumblebee of these no elegy some things that stay there be grief hills eternity nor this behooveth me there are that resting rise can i expound the skies how still the riddle lies,225
  I know some lonely houses off the road,"  I know some lonely houses off the road
  
  A robber 'd like the look of, —
  
  Wooden barred,
  
  And windows hanging low,
  
  Inviting to
  
  A portico,
  
  Where two could creep:
  
  One hand the tools,
  
  The other peep
  
  To make sure all's asleep.
  
  Old-fashioned eyes,
  
  Not easy to surprise!
  

  How orderly the kitchen 'd look by night,
  
  With just a clock, —
  
  But they could gag the tick,
  
  And mice won't bark;
  
  And so the walls don't tell,
  
  None will.
  

  A pair of spectacles ajar just stir —
  
  An almanac's aware.
  
  Was it the mat winked,
  
  Or a nervous star?
  
  The moon slides down the stair
  
  To see who's there.
  

  There's plunder, — where?
  
  Tankard, or spoon,
  
  Earring, or stone,
  
  A watch, some ancient brooch
  
  To match the grandmamma,
  
  Staid sleeping there.
  

  Day rattles, too,
  
  Stealth's slow;
  
  The sun has got as far
  
  As the third sycamore.
  
  Screams chanticleer,
  
  ""Who's there?""
  
  And echoes, trains away,
  
  Sneer — ""Where?""
  
  While the old couple, just astir,
  
  Fancy the sunrise left the door ajar!",1135,,i know some lonely houses off the road a robber d like the look of wooden barred and windows hanging low inviting to a portico where two could creep one hand the tools the other peep to make sure alls asleep oldfashioned eyes not easy to surprise how orderly the kitchen d look by night with just a clock but they could gag the tick and mice wont bark and so the walls dont tell none will a pair of spectacles ajar just stir an almanacs aware was it the mat winked or a nervous star the moon slides down the stair to see whos there theres plunder where tankard or spoon earring or stone a watch some ancient brooch to match the grandmamma staid sleeping there day rattles too stealths slow the sun has got as far as the third sycamore screams chanticleer whos there and echoes trains away sneer where while the old couple just astir fancy the sunrise left the door ajar,869
"  To fight aloud is very brave,","  To fight aloud is very brave,
  
  But gallanter, I know,
  
  Who charge within the bosom,
  
  The cavalry of woe.
  

  Who win, and nations do not see,
  
  Who fall, and none observe,
  
  Whose dying eyes no country
  
  Regards with patriot love.
  

  We trust, in plumed procession,
  
  For such the angels go,
  
  Rank after rank, with even feet
  
  And uniforms of snow.",386,,to fight aloud is very brave but gallanter i know who charge within the bosom the cavalry of woe who win and nations do not see who fall and none observe whose dying eyes no country regards with patriot love we trust in plumed procession for such the angels go rank after rank with even feet and uniforms of snow,312
"  When night is almost done,","  When night is almost done,
  
  And sunrise grows so near
  
  That we can touch the spaces,
  
  It 's time to smooth the hair
  

  And get the dimples ready,
  
  And wonder we could care
  
  For that old faded midnight
  
  That frightened but an hour.",259,,when night is almost done and sunrise grows so near that we can touch the spaces it s time to smooth the hair and get the dimples ready and wonder we could care for that old faded midnight that frightened but an hour,216
"  Read, sweet, how others strove,","  Read, sweet, how others strove,
  
  Till we are stouter;
  
  What they renounced,
  
  Till we are less afraid;
  
  How many times they bore
  
  The faithful witness,
  
  Till we are helped,
  
  As if a kingdom cared!
  

  Read then of faith
  
  That shone above the fagot;
  
  Clear strains of hymn
  
  The river could not drown;
  
  Brave names of men
  
  And celestial women,
  
  Passed out of record
  
  Into renown!",436,,read sweet how others strove till we are stouter what they renounced till we are less afraid how many times they bore the faithful witness till we are helped as if a kingdom cared read then of faith that shone above the fagot clear strains of hymn the river could not drown brave names of men and celestial women passed out of record into renown,345
  Pain has an element of blank;,"  Pain has an element of blank;
  
  It cannot recollect
  
  When it began, or if there were
  
  A day when it was not.
  

  It has no future but itself,
  
  Its infinite realms contain
  
  Its past, enlightened to perceive
  
  New periods of pain.",254,,pain has an element of blank it cannot recollect when it began or if there were a day when it was not it has no future but itself its infinite realms contain its past enlightened to perceive new periods of pain,210
"  I taste a liquor never brewed,","  I taste a liquor never brewed,
  
  From tankards scooped in pearl;
  
  Not all the vats upon the Rhine
  
  Yield such an alcohol!
  

  Inebriate of air am I,
  
  And debauchee of dew,
  
  Reeling, through endless summer days,
  
  From inns of molten blue.
  

  When landlords turn the drunken bee
  
  Out of the foxglove's door,
  
  When butterflies renounce their drams,
  
  I shall but drink the more!
  

  Till seraphs swing their snowy hats,
  
  And saints to windows run,
  
  To see the little tippler
  
  Leaning against the sun!",552,,i taste a liquor never brewed from tankards scooped in pearl not all the vats upon the rhine yield such an alcohol inebriate of air am i and debauchee of dew reeling through endless summer days from inns of molten blue when landlords turn the drunken bee out of the foxgloves door when butterflies renounce their drams i shall but drink the more till seraphs swing their snowy hats and saints to windows run to see the little tippler leaning against the sun,457
"  He ate and drank the precious words,","  He ate and drank the precious words,
  
  His spirit grew robust;
  
  He knew no more that he was poor,
  
  Nor that his frame was dust.
  
  He danced along the dingy days,
  
  And this bequest of wings
  
  Was but a book. What liberty
  
  A loosened spirit brings!",273,,he ate and drank the precious words his spirit grew robust he knew no more that he was poor nor that his frame was dust he danced along the dingy days and this bequest of wings was but a book what liberty a loosened spirit brings,229
"  I had no time to hate, because","  I had no time to hate, because
  
  The grave would hinder me,
  
  And life was not so ample I
  
  Could finish enmity.
  

  Nor had I time to love; but since
  
  Some industry must be,
  
  The little toil of love, I thought,
  
  Was large enough for me.",262,,i had no time to hate because the grave would hinder me and life was not so ample i could finish enmity nor had i time to love but since some industry must be the little toil of love i thought was large enough for me,216
"  'T was such a little, little boat","  'T was such a little, little boat
  
  That toddled down the bay!
  
  'T was such a gallant, gallant sea
  
  That beckoned it away!
  

  'T was such a greedy, greedy wave
  
  That licked it from the coast;
  
  Nor ever guessed the stately sails
  
  My little craft was lost!",282,,t was such a little little boat that toddled down the bay t was such a gallant gallant sea that beckoned it away t was such a greedy greedy wave that licked it from the coast nor ever guessed the stately sails my little craft was lost,234
"  Whether my bark went down at sea,","  Whether my bark went down at sea,
  
  Whether she met with gales,
  
  Whether to isles enchanted
  
  She bent her docile sails;
  

  By what mystic mooring
  
  She is held to-day, —
  
  This is the errand of the eye
  
  Out upon the bay.",246,,whether my bark went down at sea whether she met with gales whether to isles enchanted she bent her docile sails by what mystic mooring she is held today this is the errand of the eye out upon the bay,200
"  Belshazzar had a letter, —","  Belshazzar had a letter, —
  
  He never had but one;
  
  Belshazzar's correspondent
  
  Concluded and begun
  
  In that immortal copy
  
  The conscience of us all
  
  Can read without its glasses
  
  On revelation's wall.",230,,belshazzar had a letter he never had but one belshazzars correspondent concluded and begun in that immortal copy the conscience of us all can read without its glasses on revelations wall,186
  The brain within its groove,"  The brain within its groove
  
  Runs evenly and true;
  
  But let a splinter swerve,
  
  'T were easier for you
  
  To put the water back
  
  When floods have slit the hills,
  
  And scooped a turnpike for themselves,
  
  And blotted out the mills!",257,,the brain within its groove runs evenly and true but let a splinter swerve t were easier for you to put the water back when floods have slit the hills and scooped a turnpike for themselves and blotted out the mills,214
  Mine by the right of the white election!,"  Mine by the right of the white election!
  
  Mine by the royal seal!
  
  Mine by the sign in the scarlet prison
  
  Bars cannot conceal!
  

  Mine, here in vision and in veto!
  
  Mine, by the grave's repeal
  
  Titled, confirmed, — delirious charter!
  
  Mine, while the ages steal!",292,,mine by the right of the white election mine by the royal seal mine by the sign in the scarlet prison bars cannot conceal mine here in vision and in veto mine by the graves repeal titled confirmed delirious charter mine while the ages steal,240
"  You left me, sweet, two legacies, —","  You left me, sweet, two legacies, —
  
  A legacy of love
  
  A Heavenly Father would content,
  
  Had He the offer of;
  

  You left me boundaries of pain
  
  Capacious as the sea,
  
  Between eternity and time,
  
  Your consciousness and me.",251,,you left me sweet two legacies a legacy of love a heavenly father would content had he the offer of you left me boundaries of pain capacious as the sea between eternity and time your consciousness and me,203
  Alter? When the hills do.,"  Alter? When the hills do.
  
  Falter? When the sun
  
  Question if his glory
  
  Be the perfect one.
  

  Surfeit? When the daffodil
  
  Doth of the dew:
  
  Even as herself, O friend!
  
  I will of you!",212,,alter when the hills do falter when the sun question if his glory be the perfect one surfeit when the daffodil doth of the dew even as herself o friend i will of you,165
  Elysium is as far as to,"  Elysium is as far as to
  
  The very nearest room,
  
  If in that room a friend await
  
  Felicity or doom.
  

  What fortitude the soul contains,
  
  That it can so endure
  
  The accent of a coming foot,
  
  The opening of a door!",241,,elysium is as far as to the very nearest room if in that room a friend await felicity or doom what fortitude the soul contains that it can so endure the accent of a coming foot the opening of a door,198
"  Doubt me, my dim companion!","  Doubt me, my dim companion!
  
  Why, God would be content
  
  With but a fraction of the love
  
  Poured thee without a stint.
  
  The whole of me, forever,
  
  What more the woman can, —
  
  Say quick, that I may dower thee
  
  With last delight I own!
  

  It cannot be my spirit,
  
  For that was thine before;
  
  I ceded all of dust I knew, —
  
  What opulence the more
  
  Had I, a humble maiden,
  
  Whose farthest of degree
  
  Was that she might,
  
  Some distant heaven,
  
  Dwell timidly with thee!",527,,doubt me my dim companion why god would be content with but a fraction of the love poured thee without a stint the whole of me forever what more the woman can say quick that i may dower thee with last delight i own it cannot be my spirit for that was thine before i ceded all of dust i knew what opulence the more had i a humble maiden whose farthest of degree was that she might some distant heaven dwell timidly with thee,423
"  If you were coming in the fall,","  If you were coming in the fall,
  
  I'd brush the summer by
  
  With half a smile and half a spurn,
  
  As housewives do a fly.
  

  If I could see you in a year,
  
  I'd wind the months in balls,
  
  And put them each in separate drawers,
  
  Until their time befalls.
  

  If only centuries delayed,
  
  I'd count them on my hand,
  
  Subtracting till my fingers dropped
  
  Into Van Diemen's land.
  

  If certain, when this life was out,
  
  That yours and mine should be,
  
  I'd toss it yonder like a rind,
  
  And taste eternity.
  

  But now, all ignorant of the length
  
  Of time's uncertain wing,
  
  It goads me, like the goblin bee,
  
  That will not state its sting.",701,,if you were coming in the fall id brush the summer by with half a smile and half a spurn as housewives do a fly if i could see you in a year id wind the months in balls and put them each in separate drawers until their time befalls if only centuries delayed id count them on my hand subtracting till my fingers dropped into van diemens land if certain when this life was out that yours and mine should be id toss it yonder like a rind and taste eternity but now all ignorant of the length of times uncertain wing it goads me like the goblin bee that will not state its sting,574
"  I hide myself within my flower,","  I hide myself within my flower,
  
  That wearing on your breast,
  
  You, unsuspecting, wear me too —
  
  And angels know the rest.
  

  I hide myself within my flower,
  
  That, fading from your vase,
  
  You, unsuspecting, feel for me
  
  Almost a loneliness.",270,,i hide myself within my flower that wearing on your breast you unsuspecting wear me too and angels know the rest i hide myself within my flower that fading from your vase you unsuspecting feel for me almost a loneliness,219
"  That I did always love,","  That I did always love,
  
  I bring thee proof:
  
  That till I loved
  
  I did not love enough.
  

  That I shall love alway,
  
  I offer thee
  
  That love is life,
  
  And life hath immortality.
  

  This, dost thou doubt, sweet?
  
  Then have I
  
  Nothing to show
  
  But Calvary.",298,,that i did always love i bring thee proof that till i loved i did not love enough that i shall love alway i offer thee that love is life and life hath immortality this dost thou doubt sweet then have i nothing to show but calvary,229
"  Have you got a brook in your little heart,","  Have you got a brook in your little heart,
  
  Where bashful flowers blow,
  
  And blushing birds go down to drink,
  
  And shadows tremble so?
  

  And nobody knows, so still it flows,
  
  That any brook is there;
  
  And yet your little draught of life
  
  Is daily drunken there.
  

  Then look out for the little brook in March,
  
  When the rivers overflow,
  
  And the snows come hurrying from the hills,
  
  And the bridges often go.
  

  And later, in August it may be,
  
  When the meadows parching lie,
  
  Beware, lest this little brook of life
  
  Some burning noon go dry!",602,,have you got a brook in your little heart where bashful flowers blow and blushing birds go down to drink and shadows tremble so and nobody knows so still it flows that any brook is there and yet your little draught of life is daily drunken there then look out for the little brook in march when the rivers overflow and the snows come hurrying from the hills and the bridges often go and later in august it may be when the meadows parching lie beware lest this little brook of life some burning noon go dry,505
"  As if some little Arctic flower,","  As if some little Arctic flower,
  
  Upon the polar hem,
  
  Went wandering down the latitudes,
  
  Until it puzzled came
  
  To continents of summer,
  
  To firmaments of sun,
  
  To strange, bright crowds of flowers,
  
  And birds of foreign tongue!
  
  I say, as if this little flower
  
  To Eden wandered in —
  
  What then? Why, nothing, only,
  
  Your inference therefrom!",391,,as if some little arctic flower upon the polar hem went wandering down the latitudes until it puzzled came to continents of summer to firmaments of sun to strange bright crowds of flowers and birds of foreign tongue i say as if this little flower to eden wandered in what then why nothing only your inference therefrom,318
  My river runs to thee:,"  My river runs to thee:
  
  Blue sea, wilt welcome me?
  

  My river waits reply.
  
  Oh sea, look graciously!
  

  I'll fetch thee brooks
  
  From spotted nooks, —
  

  Say, sea,
  
  Take me!",200,,my river runs to thee blue sea wilt welcome me my river waits reply oh sea look graciously ill fetch thee brooks from spotted nooks say sea take me,147
"  I cannot live with you,","  I cannot live with you,
  
  It would be life,
  
  And life is over there
  
  Behind the shelf
  

  The sexton keeps the key to,
  
  Putting up
  
  Our life, his porcelain,
  
  Like a cup
  

  Discarded of the housewife,
  
  Quaint or broken;
  
  A newer Sevres pleases,
  
  Old ones crack.
  

  I could not die with you,
  
  For one must wait
  
  To shut the other's gaze down, —
  
  You could not.
  

  And I, could I stand by
  
  And see you freeze,
  
  Without my right of frost,
  
  Death's privilege?
  

  Nor could I rise with you,
  
  Because your face
  
  Would put out Jesus',
  
  That new grace
  

  Glow plain and foreign
  
  On my homesick eye,
  
  Except that you, than he
  
  Shone closer by.
  

  They'd judge us — how?
  
  For you served Heaven, you know,
  
  Or sought to;
  
  I could not,
  

  Because you saturated sight,
  
  And I had no more eyes
  
  For sordid excellence
  
  As Paradise.
  

  And were you lost, I would be,
  
  Though my name
  
  Rang loudest
  
  On the heavenly fame.
  

  And were you saved,
  
  And I condemned to be
  
  Where you were not,
  
  That self were hell to me.
  

  So we must keep apart,
  
  You there, I here,
  
  With just the door ajar
  
  That oceans are,
  
  And prayer,
  
  And that pale sustenance,
  
  Despair!",1325,,i cannot live with you it would be life and life is over there behind the shelf the sexton keeps the key to putting up our life his porcelain like a cup discarded of the housewife quaint or broken a newer sevres pleases old ones crack i could not die with you for one must wait to shut the others gaze down you could not and i could i stand by and see you freeze without my right of frost deaths privilege nor could i rise with you because your face would put out jesus that new grace glow plain and foreign on my homesick eye except that you than he shone closer by theyd judge us how for you served heaven you know or sought to i could not because you saturated sight and i had no more eyes for sordid excellence as paradise and were you lost i would be though my name rang loudest on the heavenly fame and were you saved and i condemned to be where you were not that self were hell to me so we must keep apart you there i here with just the door ajar that oceans are and prayer and that pale sustenance despair,1013
"  I'm ceded, I've stopped being theirs;","  I'm ceded, I've stopped being theirs;
  
  The name they dropped upon my face
  
  With water, in the country church,
  
  Is finished using now,
  
  And they can put it with my dolls,
  
  My childhood, and the string of spools
  
  I've finished threading too.
  

  Baptized before without the choice,
  
  But this time consciously, of grace
  
  Unto supremest name,
  
  Called to my full, the crescent dropped,
  
  Existence's whole arc filled up
  
  With one small diadem.
  

  My second rank, too small the first,
  
  Crowned, crowing on my father's breast,
  
  A half unconscious queen;
  
  But this time, adequate, erect,
  
  With will to choose or to reject.
  
  And I choose — just a throne.",715,,im ceded ive stopped being theirs the name they dropped upon my face with water in the country church is finished using now and they can put it with my dolls my childhood and the string of spools ive finished threading too baptized before without the choice but this time consciously of grace unto supremest name called to my full the crescent dropped existences whole arc filled up with one small diadem my second rank too small the first crowned crowing on my fathers breast a half unconscious queen but this time adequate erect with will to choose or to reject and i choose just a throne,590
"  'T was a long parting, but the time","  'T was a long parting, but the time
  
  For interview had come;
  
  Before the judgment-seat of God,
  
  The last and second time
  

  These fleshless lovers met,
  
  A heaven in a gaze,
  
  A heaven of heavens, the privilege
  
  Of one another's eyes.
  

  No lifetime set on them,
  
  Apparelled as the new
  
  Unborn, except they had beheld,
  
  Born everlasting now.
  

  Was bridal e'er like this?
  
  A paradise, the host,
  
  And cherubim and seraphim
  
  The most familiar guest.",504,,t was a long parting but the time for interview had come before the judgmentseat of god the last and second time these fleshless lovers met a heaven in a gaze a heaven of heavens the privilege of one anothers eyes no lifetime set on them apparelled as the new unborn except they had beheld born everlasting now was bridal eer like this a paradise the host and cherubim and seraphim the most familiar guest,405
"  I'm wife; I've finished that,","  I'm wife; I've finished that,
  
  That other state;
  
  I'm Czar, I'm woman now:
  
  It's safer so.
  

  How odd the girl's life looks
  
  Behind this soft eclipse!
  
  I think that earth seems so
  
  To those in heaven now.
  

  This being comfort, then
  
  That other kind was pain;
  
  But why compare?
  
  I'm wife! stop there!",344,,im wife ive finished that that other state im czar im woman now its safer so how odd the girls life looks behind this soft eclipse i think that earth seems so to those in heaven now this being comfort then that other kind was pain but why compare im wife stop there,265
"  She rose to his requirement, dropped","  She rose to his requirement, dropped
  
  The playthings of her life
  
  To take the honorable work
  
  Of woman and of wife.
  

  If aught she missed in her new day
  
  Of amplitude, or awe,
  
  Or first prospective, or the gold
  
  In using wore away,
  

  It lay unmentioned, as the sea
  
  Develops pearl and weed,
  
  But only to himself is known
  
  The fathoms they abide.",391,,she rose to his requirement dropped the playthings of her life to take the honorable work of woman and of wife if aught she missed in her new day of amplitude or awe or first prospective or the gold in using wore away it lay unmentioned as the sea develops pearl and weed but only to himself is known the fathoms they abide,323
"  Come slowly, Eden!","  Come slowly, Eden!
  
  Lips unused to thee,
  
  Bashful, sip thy jasmines,
  
  As the fainting bee,
  

  Reaching late his flower,
  
  Round her chamber hums,
  
  Counts his nectars — enters,
  
  And is lost in balms!",226,,come slowly eden lips unused to thee bashful sip thy jasmines as the fainting bee reaching late his flower round her chamber hums counts his nectars enters and is lost in balms,176
"  New feet within my garden go,","  New feet within my garden go,
  
  New fingers stir the sod;
  
  A troubadour upon the elm
  
  Betrays the solitude.
  

  New children play upon the green,
  
  New weary sleep below;
  
  And still the pensive spring returns,
  
  And still the punctual snow!",265,,new feet within my garden go new fingers stir the sod a troubadour upon the elm betrays the solitude new children play upon the green new weary sleep below and still the pensive spring returns and still the punctual snow,220
"  Pink, small, and punctual,","  Pink, small, and punctual,
  
  Aromatic, low,
  
  Covert in April,
  
  Candid in May,
  

  Dear to the moss,
  
  Known by the knoll,
  
  Next to the robin
  
  In every human soul.
  

  Bold little beauty,
  
  Bedecked with thee,
  
  Nature forswears
  
  Antiquity.",277,,pink small and punctual aromatic low covert in april candid in may dear to the moss known by the knoll next to the robin in every human soul bold little beauty bedecked with thee nature forswears antiquity,205
  The murmur of a bee,"  The murmur of a bee
  
  A witchcraft yieldeth me.
  
  If any ask me why,
  
  'T were easier to die
  
  Than tell.
  

  The red upon the hill
  
  Taketh away my will;
  
  If anybody sneer,
  
  Take care, for God is here,
  
  That's all.
  

  The breaking of the day
  
  Addeth to my degree;
  
  If any ask me how,
  
  Artist, who drew me so,
  
  Must tell!",371,,the murmur of a bee a witchcraft yieldeth me if any ask me why t were easier to die than tell the red upon the hill taketh away my will if anybody sneer take care for god is here thats all the breaking of the day addeth to my degree if any ask me how artist who drew me so must tell,282
  Perhaps you'd like to buy a flower?,"  Perhaps you'd like to buy a flower?
  
  But I could never sell.
  
  If you would like to borrow
  
  Until the daffodil
  

  Unties her yellow bonnet
  
  Beneath the village door,
  
  Until the bees, from clover rows
  
  Their hock and sherry draw,
  

  Why, I will lend until just then,
  
  But not an hour more!",323,,perhaps youd like to buy a flower but i could never sell if you would like to borrow until the daffodil unties her yellow bonnet beneath the village door until the bees from clover rows their hock and sherry draw why i will lend until just then but not an hour more,265
  The pedigree of honey,"  The pedigree of honey
  
  Does not concern the bee;
  
  A clover, any time, to him
  
  Is aristocracy.",107,,the pedigree of honey does not concern the bee a clover any time to him is aristocracy,86
  Some keep the Sabbath going to church;,"  Some keep the Sabbath going to church;
  
  I keep it staying at home,
  
  With a bobolink for a chorister,
  
  And an orchard for a dome.
  

  Some keep the Sabbath in surplice;
  
  I just wear my wings,
  
  And instead of tolling the bell for church,
  
  Our little sexton sings.
  

  God preaches, — a noted clergyman, —
  
  And the sermon is never long;
  
  So instead of getting to heaven at last,
  
  I'm going all along!",439,,some keep the sabbath going to church i keep it staying at home with a bobolink for a chorister and an orchard for a dome some keep the sabbath in surplice i just wear my wings and instead of tolling the bell for church our little sexton sings god preaches a noted clergyman and the sermon is never long so instead of getting to heaven at last im going all along,362
"  The bee is not afraid of me,","  The bee is not afraid of me,
  
  I know the butterfly;
  
  The pretty people in the woods
  
  Receive me cordially.
  

  The brooks laugh louder when I come,
  
  The breezes madder play.
  
  Wherefore, mine eyes, thy silver mists?
  
  Wherefore, O summer's day?",270,,the bee is not afraid of me i know the butterfly the pretty people in the woods receive me cordially the brooks laugh louder when i come the breezes madder play wherefore mine eyes thy silver mists wherefore o summers day,221
